"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","员工核销模块","查看核销记录","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品类型","0","0","1","0","0"
"","员工核销模块","核销页面-输入核销码","0","0","1","0","0"
"","用户抽奖模块","点击个人中心按钮-进入个人中心页面","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品类型2","0","0","1","0","0"
"","用户抽奖模块","关闭浏览器","0","0","1","0","0"
"","用户抽奖模块","初始化打开浏览器","0","0","1","0","0"
"","员工核销模块","关闭浏览器","0","0","1","0","0"
"","抽奖管理后台","新增失败提示语弹框-添加失败提示文案","0","0","1","0","0"
"","抽奖管理后台","活动管理页面-根据活动状态搜索","0","0","1","0","0"
"","员工核销模块","核销页面-输入手机号","0","0","1","0","0"
"","抽奖管理后台","后台首页-点击商品管理","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-点击提交按钮","0","0","3","0","0"
"","用户抽奖模块","登录页面-点击登录按钮","0","0","2","0","0"
"","用户抽奖模块","获取活动列表id","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-输入中奖概率3","0","0","1","0","0"
"","抽奖管理后台","登录页面-输入密码","0","0","1","0","0"
"","员工核销模块","获取核销码","0","0","1","0","0"
"","抽奖管理后台","新增活动页-输入活动名称","0","0","1","0","0"
"","抽奖管理后台","登录页面-输入用户名","0","0","1","0","0"
"","员工核销模块","初始化打开浏览器","0","0","1","0","0"
"","员工核销模块","登录页面-输入密码","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品模板2","0","0","1","0","0"
"","用户抽奖模块","登录页面-输入密码","0","0","1","0","0"
"","员工核销模块","首页-点击核销按钮","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品模板3","0","0","1","0","0"
"","抽奖管理后台","新增活动页面-点击新增活动商品2","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品类型3","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-输入中奖概率","0","0","1","0","0"
"","用户抽奖模块","中奖记录列表-点击记录明细按钮查看明细","0","0","1","0","0"
"","抽奖管理后台","后台首页-点击导航栏","0","0","1","0","0"
"","用户抽奖模块","登录页面-输入用户名","0","0","1","0","0"
"","员工核销模块","登录页面-输入用户名","0","0","1","0","0"
"","用户抽奖模块","个人中心页面-点击中奖记录按钮","0","0","1","0","0"
"","抽奖管理后台","活动管理页面-点击启用活动按钮","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-选择商品模板","0","0","1","0","0"
"","员工核销模块","点击提交核销","0","0","1","0","0"
"","抽奖管理后台","初始化方法打开浏览器","0","0","1","0","0"
"","抽奖管理后台","登录页面-点击登录按钮","0","0","1","0","0"
"","抽奖管理后台","新增活动页面-点击提交按钮","0","0","1","0","0"
"","抽奖管理后台","新增失败提示语弹框-添加失败概率","0","0","1","0","0"
"","抽奖管理后台","新增失败提示语弹框-点击提交按钮","0","0","1","0","0"
"","抽奖管理后台","商品管理页-点击新增活动商品","0","0","1","0","0"
"","抽奖管理后台","新增活动页-点击新增失败提示语","0","0","1","0","0"
"","员工核销模块","登录页面-点击登录按钮","0","0","1","0","0"
"","抽奖管理后台","新增活动页面-点击新增活动商品3","0","0","1","0","0"
"","抽奖管理后台","关闭浏览器","0","0","1","0","0"
"","抽奖管理后台","活动管理页-根据活动名称模糊搜索","0","0","1","0","0"
"","抽奖管理后台","新增商品弹框-输入中奖概率2","0","0","1","0","0"
"","抽奖管理后台","商品管理页-重置搜索内容","0","0","1","0","0"
"","抽奖管理后台","新增活动页面-点击新增活动商品","0","0","1","0","0"
