"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 11:59:11 CST 2022","Tue Sep 13 11:59:13 CST 2022","2172","case","case03_employee","TestEmployee","","","test_click_usre_record","查看核销记录"
"passed","Tue Sep 13 11:57:02 CST 2022","Tue Sep 13 11:57:04 CST 2022","2086","case","case01_admin","Testcase","","","test_click_goods_type","新增商品弹框-选择商品类型"
"passed","Tue Sep 13 11:59:09 CST 2022","Tue Sep 13 11:59:10 CST 2022","1044","case","case03_employee","TestEmployee","","","test_send_prize_code","核销页面-输入核销码"
"passed","Tue Sep 13 11:58:30 CST 2022","Tue Sep 13 11:58:32 CST 2022","2161","case","case02_user","TestUser","","","test_click_user_info","点击个人中心按钮-进入个人中心页面"
"passed","Tue Sep 13 11:57:09 CST 2022","Tue Sep 13 11:57:13 CST 2022","3421","case","case01_admin","Testcase","","","test_click_goods_type2","新增商品弹框-选择商品类型2"
"passed","Tue Sep 13 11:58:36 CST 2022","Tue Sep 13 11:58:39 CST 2022","3090","case","case02_user","TestUser","","","test_close_driver","关闭浏览器"
"passed","Tue Sep 13 11:57:50 CST 2022","Tue Sep 13 11:58:14 CST 2022","24102","case","case02_user","TestUser","","","test_init_open_user","初始化打开浏览器"
"passed","Tue Sep 13 11:59:13 CST 2022","Tue Sep 13 11:59:22 CST 2022","8100","case","case03_employee","TestEmployee","","","test_close_driver","关闭浏览器"
"passed","Tue Sep 13 11:57:27 CST 2022","Tue Sep 13 11:57:29 CST 2022","2434","case","case01_admin","Testcase","","","test_send_Defeat_text","新增失败提示语弹框-添加失败提示文案"
"passed","Tue Sep 13 11:57:34 CST 2022","Tue Sep 13 11:57:40 CST 2022","6214","case","case01_admin","Testcase","","","test_get_activityStatus_list","活动管理页面-根据活动状态搜索"
"passed","Tue Sep 13 11:59:08 CST 2022","Tue Sep 13 11:59:09 CST 2022","1167","case","case03_employee","TestEmployee","","","test_send_phone","核销页面-输入手机号"
"passed","Tue Sep 13 11:56:58 CST 2022","Tue Sep 13 11:56:59 CST 2022","1047","case","case01_admin","Testcase","","","test_click_commodity","后台首页-点击商品管理"
